English word,Katakana word,Google Translate
marne,アラン,Alan
beurrier,ブリエ,BRIEY
nuova,ヌオヴァ,Nuova
di,デ,De
barberani,バルベラーニ,Baruberani
arnould,アルノールド,Arunorudo
noir,ロレーヌ,Lorraine
puebla,プエブラ,Puebla
castillo,ロ,Russia
termes,テルメス,Thermes
classe,クラッセ,Classe
loriginal,ロリジナル,Rorijinaru
mousseyron,ムセロン,Museron
aime,エメ,Aimé
donissan,ニッサン,Nisan
firr,アリ,Ali
les,ローゼス,Roses
le,ウリ,Uri
du,スッド,Sud
bulles,レルシリス,Rerushirisu
matarocco,マタロッコ,Matarokko
gurpegui,グルペギ,Gurupegi
aubeline,オブリンヌ,Oburin'nu
nikka,スーパーニッカ,Super Nikka
gabel,ガベル,Gabel
duncantaylorglenlossie,ダンカンテイラーピアレスコレクショングレンロッシ,Duncan Taylor Peerless collection Glenn Rossi
gioviano,ジョヴィアーノ,Jovi Arno
montebello,ベロ,Belo
stefano,ステファノ,Stefano
pato,パト,Pato
grand,ブレンド,Blend
pirouette,ピルエット,Pirouette
uno,ウノ,Uno
roccamonfina,ロッカモンフィーナ,Roccamonfina
young,リング,Ring
poncins,ポンサン,Ponsan
lois,プラス,Plus
lynchmoussas,ムーサ,The Muses
combotte,コンボット,Konbotto
butt,アーティスト,Artist
pupillin,ピュピランル,Pyupiranru
ceretto,チェレット,Cheretto
matured,オールド,Old
rutilum,ルティルム,Rutirumu
label,ラベル,Label
santiago,サンティアゴ,Santiago
aoc,エポック,Epoch
lingenfelder,リンゲンフェルダー,Phosphorus Gen Felder
union,マン,Man
auge,オージェ,Auger
les,ブリゾー,Burizo
iprandi,イプランディ,Type Randy
amour,ラ,La
vieilles,シャスラ,Chasselas
traditional,サントリー,Suntory Ltd.
ashton,アシュトン,Ashton
bam,バム,Bam
romain,ロマン,Roman
pegau,ゴー,Go
poderina,ポデリーナ,Poderina
sale,リエ,Rie
luiliere,デュイリエール,Duy Villiers
videre,ヴィデレ,Vu~idere
mayran,メイラン,Mahlon
amontillado,ドロ,Mud
inchmurrin,マリン,Marin
louis,サイズ,Size
noir,ローラン,Laurent
vaumuliens,フランス,France
atlantico,アトランティコ,Atlantico
clauzel,レイ,Ray
grupetto,グルペット,Gurupetto
series,ローズ,Rose
me,ミー,Mie
stift,シュティフト,Shutifuto
sale,シャルル,Charles
belair,ベレール,Belaire
valle,ラ,La
cuve,エヴァ,Eva
carugate,カルガーテ,Carugate
estella,エステッラ,Esuterra
roman,ロマネ,Romanee
madmen,マッドメン,Mad men
medos,メドス,Medosu
courthault,クルトー,Kuruto
nr,レ,Le
masseto,マセト,Maseto
alsace,ミュスカ,Muscat
grignolino,グリニョリーノ,Gurinyorino
ishikoridome,イシコリドメ,Ishikoridome
borba,ボルバ,Borba
samaroli,サマローリ,Samarori
matured,ブレンデッドモルト,Blended malt
sillon,ダニエル,Daniel
infinitus,インフィニタス,Infini task
region,ジョン,John
savignylesbeaune,サヴィーニ,Savini
brio,アル,Al
brandlinvineyard,ブランド,Brand
cappella,カッペラ,Kappera
les,フォルサ,Forusa
serinnes,サン,San
issan,ディサン,Disan
estratego,エストラテゴ,Esutoratego
cap,カップ,Cup
logan,ガン,Gun
noir,ビネール,Bineru
golden,ゴールデンアイ,Golden Eye
vinhal,イセハラ,Isehara
duresses,セイ,Say
vina,ノン,Non
pinotage,ピノタージュ,Pinotage
cornas,コロナス,Coronas
von,カノン,Canon
merville,メルヴィル,Melville
tinja,ティンジャ,Tinja
filles,アンセストラル,Ansesutoraru
luisa,ルイザ,Louisa
avalon,アヴァロン,Avalon
cevico,チェビコ,Chebiko
castro,カストロ,Castro
dellasso,ロッソ,Rosso
rose,ローズ,Rose
bbr,ブルー,Blue
elstree,トリー,Tree
lansarine,ランザリーヌ,Ranzarinu
croisade,クロワザード,Croisades
alella,ニール,Neil
cigale,シガル,Sigar
lindes,リンデス,Lindeth
ballthazar,バルタザール,Balthazar
ludi,ルディ,Rudy
atilde,ペラーダ,Perada
valozieres,アロース,Allose
grasse,グラス,Glass
pedroximenez,ペドロヒメネス,Pedro Jimenez
weemala,ウィマーラ,U~imara
puianello,プイアネッロ,Puianerro
steinriegl,シュタインリーグル,Stein league Lumpur
nonfiltre,フィルトレ,Firutore
ri,ライ,Lai
aligote,アリゴテ,Aligote
alberti,アルベルティ,Alberti
ne,ヌ,J
caruptae,カルプテ,Karupute
gb,ジービー,Gee Bee
sergue,セルグ,Serug
torcicoda,トルチコーダ,Toruchikoda
roggiano,ロッジアーノ,Rojjiano
sea,シスターズ,Sisters
aoc,ルピアック,Rupiakku
playground,プレイグランド,Playground
briailes,ヴェルジュレス,Verjuice less
passetoulgrain,パストゥーグラン,Path Two Grand
protos,トス,Toss
superiore,マルスーレ,Marusure
pale,ペール,Pail
tonino,ノ,Roh
almirez,レス,Less
zone,チンザノ,Cinzano
velier,ヴェリエ,Vu~erie
nascetta,ナシェッタ,Nashetta
viola,ヴィオラ,Viola
lage,エアステラーゲ,Easuterage
creman,クレマン,Clement
peel,ピール,Peel
la,アル,Al
dor,ドゥレイ,Do~urei
gagliardi,ガリアルディ,Gagliardi
cool,コッリ,Colli
ceretta,チェレッタ,Cheretta
fortin,フォルタン,Fortin
lion,リオン,Rion
central,ヴァラエタル,Varietal
forastiero,フォレスティロ,Foresutiro
molandro,ドロ,Mud
jac,ジャック,Jack
vacca,ヴァッカ,Vu~akka
patrice,マルク,Marc
steppes,ステップス,Steps
meursaurt,ポテル,Poteru
neigru,ネイグル,Neiguru
donnas,ナス,Eggplant
plate,プレート,Plate
zuleta,スレタ,Sureta
poco,キー,Key
finish,ソーテルヌフィニッシュ,Sauternes finish
margalaine,マルガレーヌ,Marugarenu
amano,マーノ,Mano
baiata,バイアータ,Baiata
terras,テラス,Terrace
al,オーストラリア,Australia
says,セイズ,Says
moscadello,モスカデッロ,Mosukaderro
agapito,アガピト,Agapito
lou,ルー,Lou
gine,ジネ,Genetics
lavernette,グラニット,Granit
vulture,ポルターレ,Portalet
momo,モモ,Peach
mignon,ピノムニエ,Pinot Meunier
coueur,クール,Cool
elie,エリー,Erie
celler,メルロー,Merlot
lieujean,ジャン,Jean
querciolo,クラ,Kula
camarsac,カマルサック,Kamarusakku
beauregard,ボルドー,Bordeaux
peck,ペック,Peck
viognier,ジョリアン,Jorian
pr,ル,Le
wa,チワワ,Chihuahua
black,ブラックボックス,Black box
siries,シリーズ,Series
orfila,オルフィラ,Orfila
hishock,ヴェルナッチャ,Vernaccia
lupo,ポ,Po
aldeanueva,アルデヌエバ,Arudenueba
oterra,エル,Elle
genestes,ジュネスト,Junesuto
nicolas,アロース,Allose
lisini,サン,San
mi,ミ,Mi
maule,マウレ,Maule
one,アン,Anne
vdf,デフー,Defu
glen,シュナンブラン,Chenin Blanc
camino,エルカミーノ,Erukamino
balthasar,バルタザール,Balthazar
casa,カサ,Casa
los,ロスカーネロス,Rosukanerosu
noblesse,レス,Less
cuvee,ビオ,Biot
delle,ブルネッロ,Brunello
nuova,ヌオーヴァ,Nuova
montessu,モンテッソ,Montesso
marias,マリアス,Marias
platino,プラティノ,Puratino
failla,ファイラ,Filer
resevra,レゼルヴァ,Reserva
forte,フォルテ,Forte
ac,ドメック,Domekku
capannell,カパンネッレ,Kapan'nerre
bobal,リベラ,Rivera
rochettevino,ロッケッテヴィーノ,Lock Kette Vino
luminis,ニス,Varnish
del,ペレラーダ,Pererada
puntinata,プンティナータ,Puntinata
sylviane,シルヴィアンヌ,Sylvie Anne
destornel,トゥルネル,To~uruneru
lytton,リットン,Lytton
chenevottes,シュヌヴォット,Shunuvu~otto
bodegasu,ボデガス,Bodegas
born,マリーボーン,Marie Vaughan
otonal,オトナル,Otonaru
cappelletti,カッペレッテイ,Kapperettei
sponsa,スポンサ,Sponsoring
preaut,カルト,Cult
excellence,マコンコンクール,Macon Competition
minervois,ヴィナリス,Vu~inarisu
noir,アンリ,Henri
non,オーナー,Owner
giba,ジーバ,Jiba
azelia,バローロ,Barolo
animae,アニマエ,Animae
passerel,パスレル,Pasureru
murishinaide,ムリシナイデ,Murishinaide
ik,クラシック,Classic
creek,ソーミルクリーク,Saw Millcreek
fernandez,レルナンデス,Rerunandesu
jeanjean,ジャンジャン,Ding-dong
lintori,リントーリ,Rintori
gaillard,ガローデ,Garode
bros,ベリーブラザーズ,Berry Brothers
auriol,ラ,La
lispida,リスピダ,Risupida
us,ラス,Russ
bianchi,ビアンチ,Bianchi
dellacate,デラカーテ,Derakate
distilleries,イチローズモルトダブルディスティラリーズ,Ichiro's Malt double di Stila Leeds
bertole,エクストラ,Extra
priv,プリベ,Prevailing
wine,アン,Anne
santamaria,サンタマリア,Santa Maria
ro,ロウル,Rawl
glenforres,グレンフォレス,Glen Forres
meses,メセス,Mesesu
sessanta,セッサンタ,Sessanta
powell,オーストラリア,Australia
ano,ワイン,Wine
zeller,クロ,Black
gama,ガマ,Gama
bib,バー,Bar
mountain,ダイアモンドマウンテン,Diamond Mountain
nature,ロベルト,Roberto
zone,ジェムソン,Jameson
rosacker,フレデリック,Frederick
honigsackel,ホーニッヒゼッケル,Ho Mannich Zekke Lumpur
fournier,フルニエール,Full Barbanniers
raventos,ラヴェントス,Ravu~entosu
guigone,キゴーヌ,Kigonu
degas,デガス,Degas
palme,パルメ,Palme
torino,トリノ,Torino
domaine,クレマン,Clement
dssan,ディッサン,Dissan
fontelellera,フォンテレレッラ,Fonterererra
quintaine,カンテーヌ,Kantenu
gruaudlarose,ラローズ,Larose
ancegnieres,ゾンセニエール,Zonsenieru
harlen,ワイナリー,Winery
cru,フェリエール,Ferriere
ferghettina,ファルゲッティーナ,Fal Getting Tina
chinato,キナート,Kinato
anjou,ダンジュ,Differdange
notre,ノートル,Notre
maven,メイヴェン,Meivu~en
cotes,クラスト,Crust
cellars,マックレイセラーズ,Mack Ray Cellars
fourrier,ボール,Ball
adelaida,アデライダ,Aderaida
angiolino,アンジョリーノ,Angiolino
pertimalio,ペルティマリ,Perutimari
moulin,ラン,Orchid
ac,クラシック,Classic
generis,ジェネリス,Jenerisu
wairarapa,ワイララパ,Wairarapa
of,ファイアー,Fire
jerez,ゴンザレス,Gonzales
roten,テン,Ten
saint,サンタ,Santa
gris,ノーティラス,Nautilus
sec,セッコ,Secco
du,メトッド,Metoddo
mentrida,メントリーダ,Ment reader
bas,ビゾ,Bizo
bosa,ボーザ,Bosa
+air,ジュラ,Jura
angelin,アンジェリン,Angeline
pin,ジャニーニ,Janini
pasta,パスタ,Pasta
de,ジャド,Judd
barricato,バッリカート,Barrikato
coste,コステ,Coste
beaucailou,クロ,Black
roches,ロシェ,Rocher
ottone,オットーネ,Ottone
cauquenes,カウケネス,Cauquenes
cabernetsauvignon,カベルネソーヴィニヨン,Cabernet Sauvignon
fr,ロ,Russia
leira,レイラ,Leila
plos,ローズ,Rose
roccamonfina,ロッカモンフィナ,Rocca Mont Fina
saintauriol,サントリ,Suntory
vignerons,サロン,Salon
evoncelles,ゼポンセール,Zeponseru
tierracalar,ティエラカラール,Tierra color Lumpur
hiera,イエラ,Iera
pggio,ポッジョ,Poggio
fourrey,クリュ,Cru
petillant,リュルトン,Ryuruton
privada,プリバーダ,Puribada
brewerclifton,ブリュワークリフトン,Brew work Lifton
mapu,マプ,Maputo
chemarin,シュマラン,Shumaran
bad,ベイビーバッドボーイ,Baby Bad Boy
leeuwin,ルーウィン,Lewin
generale,ジェネラル,General
fossati,フォッサーティ,Fossati
collines,スレーヌ,Surenu
central,メルロ,Merlo
muskateller,ボトル,Bottle
glentromie,グレントロミー,Gurentoromi
fuerstental,フュルステンタール,Fuerstenfeld tar
priorat,プリオラート,Priorat
fils,クローズ,Close
noir,ライエ,Laye
secco,ロマーニャセッコ,Romagna Secco
aragonite,アラゴニット,Aragonitto
chatelaine,シャトレーヌ,Shatorenu
fresh,クライヌリッシュ,Kula dog Riche
cask,ケ,Ke
grand,マグドレーヌ,Magudorenu
gaiun,ガイウン,Gaiun
moro,イル,Yl
crossed,クロスド,Kurosudo
woodhaven,ウッドヘーヴン,Uddohevun
villa,イル,Yl
leboeuf,ルブッフ,Rubuffu
beauvenir,ボーヴニール,Bovuniru
nere,ネーレ,Nere
petit,ブリュット,Brut
cusin,キュザン,Kyuzan
vinedos,フェルナンデス,Fernandez
trocken,トロッケン,Trocken
hanzell,ハンゼル,Hanzeru
cellars,シャルール,Chaleur
stassen,リトルツインスターズ,Little Twin Stars
arganza,アルガンザ,Aruganza
luiano,ルイアーノ,Ruiano
la,ヴァル,Val
oloroso,クラス,Class
ss,ロッソ,Rosso
pometti,ポメッティ,Pometti
sydre,ボルドレ,Borudore
dinosaures,アンペロサウルス,Ampelosaurus
macaya,マカヤ,Makaya
aoc,チェック,Check
valhalla,ヴァルハラ,Valhalla
pietramarina,ピエトラマリーナ,Pietra Marina
cru,フルール,Fleur
grant,プレゼント,Present
forteto,フォルテト,Foruteto
your,ミルロイ,Milroy
galatorona,ガラトローナ,Garatorona
pinot,マウント,Mount
aiko,アイコ,Aiko
roses,フォアローゼス,Fore Roses
espessas,ソレス,Soles
saintesteohe,シャトー,Chateau
ottonel,オットネル,Ottoneru
dimange,デュマンジュ,De~yumanju
louiseamelie,アメリ,Amelie
yamanashi,メルシャン,Mercian Corporation
desaunay,ヴィーニュ,Vignes
oloroso,グレンロセス,Glenrothes
samoa,サモア,Samoa
nskkrn,クラウン,Crown
dell,デッレ,Delle
selec,レック,Wreck
ot,アウト,Out
tenuta,サンティ,Santi
tempranillo,リアル,Real
davola,ダーヴォラ,Davu~ora
italesse,イタレッセ,Itaresse
caperdonic,キャパドニック,Kyapadonikku
issan,ディッサン,Dissan
moine,モワンヌ,Mowan'nu
venta,ベンタ,Venta
riesling,ビショフスガルテンリースリング,Bischoff scan Garten Riesling
glfi,グルフィ,Gulfi
pasi,ロッソ,Rosso
chateauneufu,シャトーヌフ,Chateauneuf
gevreychambertin,ジュヴレーシャンベルタン,Gevrey Chambertin over
fondatore,フォンダトーレ,Fonda Torre
francois,グラナクサ,Guranakusa
maffini,マッフィーニ,Maffini
bien,ビエン,Bien
enchenberg,アンシャンベルグ,Ann Shan Berg
major,マジョール,Mayor
alkoomi,アルクーミ,Arukumi
cc,ブラック,Black
carruade,ボルドー,Bordeaux
ecologica,エコロジカ,Ecological
savarro,サヴァロー,Savu~aro
model,モデル,Model
cru,エカール,Ekaru
doc,ヴェッキオ,Vecchio
porta,ポルタ,Porta
le,バール,Bar
cellier,クレイ,Clay
bouscasse,ブースカッセ,Busukasse
craman,マン,Man
name,ネイム,Neimu
plant,マルタン,Martin
cru,フレール,Frere
suzanne,スザンヌ,Suzanne
aronso,アロンソ,Alonso
pesenti,ペセンティ,Pesenti
wine,ニーヌ,Ninu
magliano,マリアーノ,Mariano
storm,アイラストーム,Ira Storm
sapporo,サッポロ,Sapporo
sens,サンス,Sanz
allegrini,アッレグリーニ,Arregurini
taylor,アイラ,Ira
perignon,ドンペリニヨン,Dom Perignon
olivar,オリヴァール,Oliver le
limouzin,リムーザン,Limousin
red,キャブシラーレッド,Cab Schiller Red
kirkland,カークランド,Kirkland
rosamara,ロザマーラ,Rozamara
in,ピノ,Pino
zealand,ニュージーランド,New zealand
pierre,ラルエール,Rarueru
cordero,ロ,Russia
vielle,ボール,Ball
keltic,トラック,Track
annaberta,アンナベルタ,An'naberuta
da,ド,Do
albarino,グラン,Gran
miracles,クロズリー,Closerie
ichiros,リリース,Release
forey,クリュ,Cru
manduria,デル,Dell
grist,グリスト,Grist
cabeco,カベコ,Kabeko
cru,キテルレ,Kiterure
treppchen,トレップヘン,Toreppuhen
de,ヴォード,Vu~odo
long,ロング,Long
olivier,ボール,Ball
malta,マルタ,Malta
cars,ラスカーズ,Rasukazu
nottola,ノットーラ,Nottora
scavino,スカヴィーノ,Sukavu~ino
gentili,ジェンティーリ,Gentili
biberius,ビベリウス,Biberiusu
couronneau,ノー,No
institut,プティ,Petit
charles,シャルル,Charles
mornag,モルナグ,Morunagu
ottaviano,オッタヴィアーノ,Ottaviano
general,ラ,La
sebella,セベッラ,Seberra
coast,エステーツ,Estates
bailarina,バイラリーナ,Bairarina
aerea,ノヴェッロ,Novello
anselmann,アンゼルマン,Anzeruman
shanel,シャネル,Chanel
maso,モス,Moss
sauvignon,ワインカンパニーソーヴィニョン,Wine Company Sauvignon
forest,スモールフォレスト,Small Forest
vosneromanee,ロマネ,Romanee
horsclasse,クラッセ,Classe
altosur,アルトスル,Arutosuru
ciufoli,チフォリ,Chifori
varner,エル,Elle
contatgrange,グランジェ,Grange
pere,ペル,Pell
pilgrim,ピルグリム,Pilgrim
mule,ラ,La
aureo,アウレオ,Aureo
rheingau,リング,Ring
dautomne,ドメーヌ,Domaine
vieilli,アール,Earl
tokai,トカイ,Tokaj
brut,レヴァレット,Revu~aretto
turnbull,ブル,Bull
morello,モレッロ,Morerro
yoshiki,シキ,Siki
baseball,ヴァレー,Valley
moutonne,ムートンヌ,Muton'nu
gruener,グリューナーフェルトリーナー,Gruener felt Lina over
este,エステ,Este
valtellina,ヴァルテリーナ,Valtellina
vieilles,セリエ,Selye
cock,ファイティングコック,Fighting cock
dessus,フィス,Vis
fuenmayor,フエンマヨール,Fuenmayoru
alliance,ニコラ,Nicola
chanson,シャンソン,Chanson
rosalba,ロザルバ,Rosalba
loire,ピエール,Pierre
dalba,ダルバ,Alba
marthas,ハイツ,Heights
aprendiz,アプレンデス,Apurendesu
noir,ギルラン,Giruran
merlot,バレタ,Bareta
moutardier,ドール,Dole
frere,フレール,Frere
wild,ワイルド,Wild
privee,プリヴェ,Prive
unoaked,アンオークド,An'okudo
lepre,レプレ,Lepre
kirchberg,フォルカッハーキルヒベルグ,Folder cut hard Kirch Berg
dosso,ロッソ,Rosso
aviz,アヴィズ,Avu~izu
bellene,ブラン,Blanc
ultra,ウルトラ,Ultra
ytoro,トロ,Toro
kiralica,キラリカ,Kirarika
magmatico,マグマティコ,Magumatiko
vaucrains,フランス,France
exvoto,ヴォト,Vu~oto
hoek,フック,Hook
monferato,モンフェッラート,Monferrato
ulysse,ユリス,Uris
bukkuram,マルコ,Marco
almondo,アルモンド,Almond
lab,ラブ,Love
cru,レール,Rail
verdeo,ヴェルデオ,Vu~erudeo
by,ヴィエイユ,Vieille
casks,エクスクルーシヴカスク,Exclusive cask
sara,サラ,Sara
guidi,グイディ,Guidi
gravel,グレーヴェル,Gray Vel
atamaivillagewines,リースリングーアタマイビレッジワインズ,Riesling over my head Lee Village Wines
deole,デオル,Deoru
cerasulo,マシャレッリ,Masharerri
class,クラッセ,Classe
weller,バレル,Barrel
reverudito,レベルディト,Level Dito
vinidelsa,ヴィニデルサ,Vu~iniderusa
millon,ミロン,Milon
brut,ジュリエット,Juliet
maume,モーム,Maugham
romero,エル,Elle
pieere,ピエール,Pierre
jed,ジェッド,Jed
riesling,カペレンベルクリースリング,Capelle down Berg Riesling
guad,グアド,Guado
seculo,クロ,Black
brand,ブランド,Brand
cask,クオーターカスク,Quarter Cask
amiel,ザミエル,Zamieru
delloltrepo,デッロルトレポ,Derrorutorepo
kitty,ブリュット,Brut
macalan,マカラン,Makaran
bastide,バスティッド,Bus Incorporated
toulette,トゥレット,Tourette's
lot,ロット,Lot
samassa,サルマッサ,Sarumassa
plumpjack,プランプジャック,PlumpJack
granacha,グルナッチャ,Gurunatcha
no,ピノ,Pino
jonnie,ジョニー,Johnny
serralunga,セッラルンガ,Serralunga
en,デテュンヌ,Dete~yun'nu
young,ランゴア,Rangoa
averan,ナヴェラン,Navu~eran
synthesis,シンセシス,Synthesis
vendemmia,ヴェンデミア,Vu~endemia
butler,レ,Le
prunottobarolo,イタリア,Italy
sajazarra,ソラール,Solar
coop,アネコープ,Anekopu
aoc,エコ,Eco
peats,ピーツビースト,Petes Beast
vougeraie,ヴジュレ,Vujure
blair,レア,Rare
merlot,ラポストール,Raposutoru
eb,リヴ,Liv
cuvee,ヴィヴァ,Viva
sua,ザ,The
fine,フィーネ,Fine
lhermitage,レルミタージュ,L'Ermitage
arcelain,ラン,Orchid
rose,ロセ,Rosset
australis,オーストラリス,Australis
tavkveri,タヴクヴェリ,Tavukuvu~eri
red,ティーティーレッド,Tee Tee Red
cuban,バルヴェニー,Baruvu~eni
yarra,ヤラ,Yarra
conosursauvignonblancvarietal,ブランヴァラエタル,Blanc varietal
smtbms,オススメ,Recommended
nebbiolo,リゼルヴァ,Riserva
size,パス,Path
capita,キャピタ,Capital
lochnager,ロイヤルロッホナガー,Royal Loch Naga over
clauzel,クローズル,Kurozuru
joostenberg,ジューステンベルグ,Juice Ten Berg
selected,セレクテッド,SELECTED
come,サンコム,SunCom
fougeray,クリュ,Cru
loire,カール,Carl
boivin,ボワヴァン,Bowavu~an
arlanza,アルランサ,Aruransa
herrick,クリーク,Creek
aoc,リラック,Relax
dharbonville,ダーボンヴィエル,Dah Bonn Viel
clot,クロット,Clot
ad,ヤード,Yard
emeri,エメリ,Emery
lapierre,ラピエール,Lapierre
ramitello,ラミテッロ,Ramiterro
du,ディ,Day
signature,スーティラン,Sutiran
montecaruso,モンテカルーゾ,Monte Caluso
refill,カリラ,Caol Ila
erbach,ホーニッヒベルク,Ho Mannich Berg
cazeneuve,カズヌーヴ,Kazunuvu
reserve,ベセル,Bethel
gewuerztraminer,ゲヴュルツトラミーナー,Gate Hotel Wurzburger tiger Mina over
tormaresca,トレマレスカ,Toremaresuka
cornalin,コルナラン,Korunaran
giaud,ド,Do
urban,ウルバン,Urban
realgranreserva,レセルバ,Reserva
west,ウェスト,West
torre,トッレ,Torre
lamorere,ラモレル,Ramoreru
henri,クロアンリ,Kuroanri
teaninich,コレクション,Collection
honeymoon,ムーン,Moon
bourgeois,ゴルス,Gorusu
pfulben,フュルベンシルヴァーナー,Der Reuben Sylvaner
alliae,アリエ,Allier
rcp,ワールドカップ,World Cup
catapereiro,カタペレイロ,Katapereiro
frizzante,ルセンティ,Rusenti
trrontes,トロンテス,Trontes
saar,ザール,Saar
montemagro,マグロ,Tuna
trebianco,トレビアンコ,Torre Bianco
mazer,マゼール,Maazel
mondial,モンディアル,Mondial
langi,ランギ,Rangi
filli,フラテッリ,Furaterri
leflaive,ドメーヌルフレーヴ,Domaine Ruff Reve
alfieri,アルフィエーリ,Alfieri
dore,ドレ,Dore
cru,ヴィニコール,Vie Nicole
lugny,ブルゴーニュ,Burgundy
bellenum,ベレナム,Berenamu
arugabranca,アルガブランカ,Alga Blanca
nebbiolo,ネッビオロ,Nebbioro
les,ムルソー,Meursault
african,アフリカン,African
saint,カスタニエ,Kasutanie
bravo,ブラボ,Bravo
sale,レイ,Ray
dreamtime,タイム,Time
central,ネール,Nehru
vanilla,バニラ,Vanilla
les,トリス,Tris
anayon,アナヨン,Anayon
philippe,ピエ,Pillet
sect,ゼクト,Sekt
old,ウッド,Wood
blair,ブレアソール,Blair Athol
nourrissons,ヌーリッソン,Nurisson
besse,ベッセ,Besse
lorella,ロレッラ,Rorerra
bubbling,バブリング,Bubbling
fonbrauge,フォンブロージュ,Von blow Jeu
new,ワ,Wa
royale,キュヴェロワイヤル,Cuvee Royale
ronde,ロンド,Rondo
borgeis,ラベゴルス,Rabegorusu
spinona,スピノーナ,Supinona
br,ライラ,Lyra
rose,ローゼ,Rose
rossa,ロッサ,Rossa
wineset,スパークリングワインセット,Sparkling wine set
villemaurine,ヴィルモリヌ,Vu~irumorinu
celler,ブラオ,Burao
dorveau,ドルヴォー,Doruvu~o
dieu,ド,Do
noir,ルリ,Ruri
felsen,フェルゼン,Fersen
pinot,ウイラメント,Uiramento
kawahc,トチェック,To check
spoleto,スポレート,Spoleto
loree,ロリー,Lolly
lambert,ボトル,Bottle
cellaro,チェラーロ,Cheraro
cottiere,コルティエール,Corti Yale
perle,ルイ,Louis
sour,スール,Sur
brote,ブローテ,Burote
omar,オマール,Omar
spatburgunder,シュペトブルグンダ,Gerhard Petri Bull Gunda
arpa,パ,Pa
gabutti,ガブッティ,Gabutti
blan,ブラン,Blanc
deveron,グレンデベロン,Gurendeberon
bin,ソーヴィニヨンブラン,Sauvignon Blanc
juliette,ジュリエット,Juliet
maro,マロ,Marot
mateus,マテウス,Mateus
muenchberg,ミュンシュブルグ,Munch Burg
unfiltered,アンフィルタード,Unfiltered
plasir,レ,Le
lo,アル,Al
liebfraumilch,リープフラウミルヒ,Liebfraumilch
wine,ジャンニ,Gianni
celebre,セレブレ,Serebure
semiseco,セミセコ,Semiseko
terrre,ロ,Russia
colle,コッレカヴァリエーリ,Colle Cavalieri
meyerfonne,フォン,Phone
les,リリース,Release
kinko,グレンドロナック,Glendronach
coltassala,コルタッサーラ,Korutassara
ab,ヴィ,Vie
paras,パラス,Pallas
heba,エバ,Eva
sorgasme,ソルガズム,Sorugazumu
overstone,オーヴァーストーン,Over Stone
ana,ワイン,Wine
bernkasteler,ベルンカステラー,Bern Castellana
vecchio,シコ,Chico
roere,ロ,Russia
joyeuse,ジョワイユーズ,Joyeuse
montevergine,モンヴェルジネ,Mon'vu~erujine
sui,フィス,Vis
aoc,サック,Sack
vallicourt,カルト,Cult
kitterle,キテルレ,Kiterure
loui,ルイ,Louis
re,ラヴィラ,La Villa
cu,ク,Click
auchentoshan,ントッシャン,Ntosshan
vale,リボンヴェイル,Ribbon Vale
neblina,リナ,Lina
femme,ファム,Pham
vignare,ヴィグナーレ,Vu~igunare
argentanegroamaro,ネグロアマーロ,Negro Liqueurs
promis,プロミス,Promise
myall,オール,All
callia,カリア,Caria
mondavi,モンダヴィ,Mondavi
mito,ミト,Mito
cru,エル,Elle
ars,アルス,Ars
tangue,リング,Ring
montemagro,モンテマーグロ,Montemaguro
goguette,ゲット,Get
marselan,マルスラン,Marusuran
aria,アリア,Aria
dallora,ダッローラ,Darrora
alaei,アレイ,Array
vittorio,ヴィットリオ,Vittorio
roggio,ロッジョ,Rojjo
heintz,ハインツ,Heinz
alaric,アラリック,Alaric
fornerol,フォルネロール,Fornet roll
quirico,キリコ,Chirico
mascalese,ネレッロマスカレーゼ,Nererro masker Roese
taber,タベール,Taber
bello,レ,Le
chardonnay,ヤルデン,Yaruden
suau,スアウ,Suau
freur,フルール,Fleur
grown,ハニーワイン,Honey wine
rorses,ユリス,Uris
delos,ロス,Loss
satta,サッタ,Sutter
glenturret,モルト,Malt
expression,エクスプレッション,Expression
speyside,スペサイド,Supesaido
reserve,レゼルヴ,Reserve
domenico,ドメニコ,Domenico
lauren,レン,Ren
supra,スプラ,Spline
merlot,テイラー,Tailor
grauer,ガレリー,Gareri
grande,グランデ,Grande
marumi,マルミ,Marmi
gris,ルース,Ruth
aqcui,ダックイ,Dakkui
nuova,ノヴァ,Nova
boillot,バタール,Bataru
larlot,ボトル,Bottle
carignanalicante,カリニャンアリカンテ,Cali Nyan Alicante
arrow,ノワール,Noir
vignelongue,ヴィニュロング,Vu~inyurongu
noir,テラノブレ,Teranobure
ose,オゼ,Oze
educato,カート,Cart
pujol,プジョル,Puyol
lamontpelliere,モンペリエール,Women's work pants Villiers
principiano,プリンチピアーノ,Pudding Ji Piano
anka,アンカ,Anka
le,ロベール,Robert
et,コンベット,Konbetto
juli,ウリ,Uri
groupe,グループ,Groups
domiane,ドメーヌ,Domaine
vin,ソーヴィニヨンヌ,Sauvignon null
trockenbeerenauslese,ベーレンアウスレーゼ,Beerenauslese
vinaiota,ヴィノット,Vu~inotto
seasons,シーズンズ,Seasons
outis,オウティス,Outisu
la,エル,Elle
maclura,マクルーラ,Makurura
chatau,シャトー,Chateau
bastian,バスティアン,Bastian
rcp,コッポ,Coppo
aubert,ベルト,Belt
hishock,キアンティクラシコ,Chianti Classico
stemilion,テミリオン,Emilion
gravas,グラバス,Gurabasu
ugaba,ウガバ,Ugaba
